"Country Name","Country Code","Indicator Name","Indicator Code","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Afghanistan","AFG","CPIA building human resources rating (1=low to 6=high)","IQ.CPA.HRES.XQ","","3","3","3","3","3","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","","2",
"Afghanistan","AFG","CPIA business regulatory environment rating (1=low to 6=high)","IQ.CPA.BREG.XQ","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2","2","2","2","","2",
"Afghanistan","AFG","CPIA debt policy rating (1=low to 6=high)","IQ.CPA.DEBT.XQ","","3","3","3","3.5","2.5","2.5","2.5","2.5","3","3","2.5","2.5","2.5","2.5","2.5","","1.5",
"Afghanistan","AFG","CPIA economic management cluster average (1=low to 6=high)","IQ.CPA.ECON.XQ","","3.33333333333333","3.16666666666667","3.2","3.33333333333333","3","3","3","3","3","3","3","3","3","3","3","","1.333333",
"Afghanistan","AFG","CPIA efficiency of revenue mobilization rating (1=low to 6=high)","IQ.CPA.REVN.XQ","","2.5","2.5","2.5","3","3","3","3","3","3","3","3","3","3","3","3","","2.5",
"Afghanistan","AFG","CPIA equity of public resource use rating (1=low to 6=high)","IQ.CPA.PRES.XQ","","2.5","2.5","2.5","3","3","3","3","3","3","3","3","3","3","3.5","3.5","","2",
"Afghanistan","AFG","CPIA financial sector rating (1=low to 6=high)","IQ.CPA.FINS.XQ","","2","2","2.5","2.5","2","2","2","2","2","2","2","2","2","2","1.5","","1.5",
"Afghanistan","AFG","CPIA fiscal policy rating (1=low to 6=high)","IQ.CPA.FISP.XQ","","3","3","3","3","3","3","3","3","2.5","2.5","3","3","3","3","3","","1",
"Afghanistan","AFG","CPIA gender equality rating (1=low to 6=high)","IQ.CPA.GNDR.XQ","","2","2","2","2","2","2","2","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","","1",
"Afghanistan","AFG","CPIA macroeconomic management rating (1=low to 6=high)","IQ.CPA.MACR.XQ","","4","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","","1.5",
"Afghanistan","AFG","CPIA policies for social inclusion/equity cluster average (1=low to 6=high)","IQ.CPA.SOCI.XQ","","2.3","2.3","2.5","2.6","2.6","2.7","2.7","2.6","2.6","2.6","2.6","2.6","2.6","2.7","2.7","","1.7",
