donor,country_code_WB,region,project_size_USD_calculated,startyear,completion_year,evalyear,eval_lag,project_duration,external_evaluator,success,Grouped Category
AfricanDB,AGO,Sub-Saharan Africa,6488027,2003,2011,2011,28,3144,internal,1,Agriculture and Environment
AfricanDB,BEN,Sub-Saharan Africa,15112584,1996,2005,2006,457,3202,internal,1,Infrastructure and Basic Services
AfricanDB,BEN,Sub-Saharan Africa,1372915,1997,2006,2009,960,3614,internal,0,Social Services and Welfare
AfricanDB,BEN,Sub-Saharan Africa,4886019,2000,2006,2006,21,2288,internal,1,Infrastructure and Basic Services
AfricanDB,BEN,Sub-Saharan Africa,8960464,1998,2006,2009,994,3251,internal,0,Social Services and Welfare
AfricanDB,BEN,Sub-Saharan Africa,11413834,2000,2008,2009,413,3020,internal,0,Agriculture and Environment
AfricanDB,BEN,Sub-Saharan Africa,22000000,2009,2010,2012,367,596,internal,1,Multisector and Unallocated
AfricanDB,BEN,Sub-Saharan Africa,12770902,2000,2010,2011,442,3776,internal,0,Social Services and Welfare
AfricanDB,BEN,Sub-Saharan Africa,11981356,2002,2011,2012,303,3601,internal,0,Agriculture and Environment
AfricanDB,BEN,Sub-Saharan Africa,2699518,2004,2011,2011,138,2411,internal,1,Social Services and Welfare
AfricanDB,BEN,Sub-Saharan Africa,1937284,2005,2012,2011,-472,2685,internal,0,Multisector and Unallocated
AfricanDB,BEN,Sub-Saharan Africa,13150000,2004,2012,2012,0,3276,internal,1,Infrastructure and Basic Services
AfricanDB,BFA,Sub-Saharan Africa,25000000,2003,2004,2006,675,344,internal,0,Multisector and Unallocated
AfricanDB,BFA,Sub-Saharan Africa,15472744,2004,2006,2006,-236,825,internal,0,Multisector and Unallocated
AfricanDB,BFA,Sub-Saharan Africa,18347880,1997,2007,2009,595,3769,internal,0,Social Services and Welfare
AfricanDB,BFA,Sub-Saharan Africa,2399360,2002,2008,2009,539,2235,internal,0,Multisector and Unallocated
AfricanDB,BFA,Sub-Saharan Africa,16753954,1999,2008,2011,1065,3617,internal,0,Social Services and Welfare
AfricanDB,BFA,Sub-Saharan Africa,11110000,2000,2009,2009,-102,3615,internal,1,Social Services and Welfare
AfricanDB,BFA,Sub-Saharan Africa,11980000,1998,2009,2009,-15,4347,internal,1,Infrastructure and Basic Services
AfricanDB,BFA,Sub-Saharan Africa,5269962,2003,2009,2010,350,2113,internal,1,Social Services and Welfare
